# Everyday and chat Russian for the glide and candidate engines: words a person types in a
# message that the AOSP corpus under-rates or lacks (окей was corrected to осей). Merged into
# ru.txt, and ru_bg.txt rebuilt after it, by
#   scripts/build-wordlist.py app/src/main/assets/dictionaries/ru.txt app/src/main/assets/dictionaries/ru.txt --boost scripts/wordlists/ru-everyday.tsv
#   scripts/build-ru-bg-wordlist.py app/src/main/assets/dictionaries/ru.txt app/src/main/assets/dictionaries/bg.txt app/src/main/assets/dictionaries/ru_bg.txt
# A boost only raises or adds. Tiers sit under the list's top function words (по 192):
#   175 greetings and replies, 155 messaging verbs, pronouns, time, apps and tech,
#   135 colloquialisms, abbreviations and everyday nouns; two- and three-letter slang stays at 135.
# Lowercase letters only, no names, no obscene words. An е spelling of a ё word is left out on
# purpose: Candidates corrects it to the ё word (еще -> ещё).

# greetings and goodbyes
привет	175
приветик	175
прив	175
здравствуй	175
здравствуйте	175
здарова	175
салют	175
пока	175
покеда	175
бывай	175
увидимся	175
спокойной	175
споки	175
доброе	175
добрый	175
доброго	175
утро	155
утречко	175
вечер	175
ночи	155

# replies
да	175
нет	175
ок	175
окей	175
ладно	175
хорошо	175
конечно	175
спасибо	175
пасиб	175
благодарю	175
пожалуйста	175
плиз	175
сорри	175
сорян	175
извини	175
извините	175
прости	175
норм	175
нормально	175
договорились	175
понял	175
поняла	175
ясно	175
давай	175
отлично	175
супер	175
круто	175
классно	175
здорово	175

# messaging verbs
напиши	155
напишу	155
написал	155
написала	155
напишите	155
пиши	155
пишу	155
пишет	155
скинь	155
скину	155
скинул	155
скинула	155
скиньте	155
кинь	135
кину	135
кинул	135
отправь	155
отправлю	155
отправил	155
отправила	155
позвони	155
позвоню	155
позвонил	155
позвонила	155
перезвони	155
перезвоню	155
набери	155
наберу	155
звякни	155
ответь	155
отвечу	155
ответил	155
ответила	155
глянь	155
гляну	155
посмотри	155
посмотрю	155
посмотрел	155
посмотрела	155
проверь	155
проверю	155
подожди	155
подожду	155
приходи	155
приду	155
приеду	155
буду	155
будешь	155
сделаю	155
сделал	155
сделала	155
скажи	155
скажу	155
сказал	155
сказала	155
знаю	155
знаешь	155
думаю	155
хочу	155
хочешь	155
можешь	155
могу	155
можно	155
нужно	155
надо	155
встретимся	155
созвонимся	155
спишемся	155
договоримся	155
соскучился	155
соскучилась	155
скучаю	155
люблю	155
целую	155
обнимаю	155

# pronouns and time
тебе	155
тебя	155
тобой	155
мне	155
меня	155
мной	155
нам	155
нас	155
вам	155
вас	155
сейчас	155
щас	155
потом	155
завтра	155
сегодня	155
вчера	155
скоро	155
уже	155
ещё	155
позже	155
рано	155
поздно	155
вечером	155
утром	155
ночью	155
дома	155
домой	155
минутку	155
секунду	155
выходные	155
выходных	155

# chat and social
чат	155
чатик	155
чате	135
сообщение	155
сообщения	155
смс	155
смска	155
голосовое	155
голосовуха	155
войс	155
кружочек	155
стикер	155
стикеры	155
смайлик	155
смайлики	155
эмодзи	155
лайк	155
лайки	155
лайкнуть	155
лайкни	155
репост	155
репостнуть	155
скрин	155
скрины	155
скриншот	155
скриншоты	155
сторис	155
видос	155
видосы	155
видео	155
фотка	155
фотки	155
фоточка	155
селфи	155
ссылка	155
ссылку	155
линк	155
личку	155
личке	155
подписка	155
подписчики	155
подписаться	155
блогер	155
блогерша	155
стрим	155
стример	155
онлайн	155
офлайн	155

# apps and services
телега	155
телеге	155
телегу	155
телеграм	155
телеграме	155
ватсап	155
ватсапе	155
вотсап	155
вайбер	155
вайбере	155
инста	155
инсте	155
инстаграм	155
инстаграме	155
ютуб	155
ютубе	155
тикток	155
тиктоке	155
зуме	155
гугл	155
загуглить	155
погуглить	155
загугли	155
вконтакте	155
дискорд	155
дискорде	155

# phones, computers and work
логин	155
пароль	155
аккаунт	155
аккаунте	155
вайфай	155
вайфая	155
интернет	155
инет	155
комп	155
компа	155
компе	155
ноут	155
ноута	155
ноутбук	155
планшет	155
телефон	155
телефона	155
мобила	155
смартфон	155
айфон	155
андроид	155
приложение	155
приложении	155
приложуха	155
апдейт	155
обнова	155
обновление	155
обновить	155
баги	155
фича	155
фичи	155
дедлайн	155
дедлайна	155
митинг	155
созвон	155
созвона	155
созвоне	155
удалёнка	155
удалёнке	155
удалёнку	155
зарплата	155
зарядка	155
зарядку	155
наушники	155
флешка	155

# colloquialisms
кстати	135
короче	135
вообще	135
ваще	135
типа	135
реально	135
жесть	135
жиза	135
треш	135
капец	135
пипец	135
блин	135
кайф	135
кайфово	135
хайп	135
вайб	135
вайбы	135
фейк	135
спойлер	135
спойлеры	135
чел	135
челик	135
нормас	135
погнали	135
пошли	135
крутяк	135
класс	135
клёво	135
прикол	135
прикольно	135
ржу	135
ржака	135
офигеть	135
обалдеть	135
ничоси	135
вау	135
ого	135
ахах	135
хаха	135
ахаха	135
хахаха	135
ору	135
зашквар	135
душнила	135
токсик	135
токсичный	135
бро	135
братан	135
чувак	135
подруга	135
подружка	135
тусовка	135
тусить	135
движ	135
кринж	135
кринжово	135
кринжовый	135
рофл	135
рофлить	135
имхо	135
лол	175

# short chat abbreviations
спс	135
пж	135
пжлст	135
оки	135
го	135
чё	135
чо	135
ща	135
кек	135
мем	135
мемы	135
мемчик	135
баг	135
зум	135
изи	135
хай	135
вк	135
зп	135
др	135
неа	135
ага	135
угу	135
ой	135

# everyday nouns and wishes
кофе	135
кофейку	135
обед	135
ужин	135
завтрак	135
еда	135
доставка	135
доставку	135
работа	135
работе	135
учёба	135
учёбе	135
магазин	135
деньги	135
денег	135
такси	135
метро	135
машина	135
машину	135
квартира	135
встреча	135
встречу	135
отпуск	135
праздник	135
подарок	135
новости	135
дела	135
делах	135
удачи	135
поздравляю	135
жаль	135
рад	135
рада	135

# more everyday forms
созвонились	155
написать	155
позвонить	155
скинуть	155
отправить	155
прислать	155
пришли	155
пришлю	155
прислал	155
получил	155
получила	155
успею	155
опоздаю	155
опаздываю	155
еду	155
иду	155
выхожу	155
вышел	155
вышла	155
занят	155
занята	155
свободен	155
свободна	155
спишь	155
проснулся	155
проснулась	155
устал	155
устала	155
заболел	155
заболела	155
поел	135
поела	135
купи	155
куплю	155
купил	155
купила	155
возьми	155
возьму	155
забыл	155
забыла	155
напомни	155
напомню	155
помоги	155
помогу	155
спросить	155
спрошу	155
расскажи	155
расскажу	155
покажи	155
покажу	155
пойдём	155
пойдёшь	155
идёшь	155
придёшь	155
будем	155
получится	155
получилось	155
кажется	155
наверное	155
наверно	155
точно	155
вроде	155
пофиг	135
неважно	135
ерунда	135
фигня	135
прикинь	135
прикиньте	135
